	0	1	0	1
0	260.0	-90.21375291375291	260.0	-90.21375291375291
1	259.0	-667.4592074592074	259.0	-667.4592074592074
2	258.0	-484.72261072261074	258.0	-484.72261072261074
3	257.0	-339.2237762237762	257.0	-339.2237762237762
4	256.0	-353.31235431235433	256.0	-353.31235431235433
5	255.0	-291.4895104895105	255.0	-291.4895104895105
6	254.0	-355.2237762237762	254.0	-355.2237762237762
7	253.0	-408.4055944055944	253.0	-408.4055944055944
8	252.0	-472.77855477855485	252.0	-472.77855477855485
9	251.0	-494.01864801864804	251.0	-494.01864801864804
10	250.0	-506.941724941725	250.0	-506.941724941725
11	249.0	-530.7249417249418	249.0	-530.7249417249418
12	248.0	-528.5198135198135	248.0	-528.5198135198135
13	247.0	-523.8764568764569	247.0	-523.8764568764569
14	246.0	-511.48018648018655	246.0	-511.48018648018655
15	245.0	-506.4428904428905	245.0	-506.4428904428905
16	244.0	-534.4009324009324	244.0	-534.4009324009324
17	243.0	-597.3496503496505	243.0	-597.3496503496505
18	242.0	-630.2517482517483	242.0	-630.2517482517483
19	241.0	-736.925407925408	241.0	-736.925407925408
20	240.0	-867.7226107226107	240.0	-867.7226107226107
21	239.0	-1029.7435897435896	239.0	-1029.7435897435896
22	238.0	-1091.3216783216783	238.0	-1091.3216783216783
23	237.0	-1201.6433566433568	237.0	-1201.6433566433568
24	236.0	-1333.927738927739	236.0	-1333.927738927739
25	235.0	-1441.888111888112	235.0	-1441.888111888112
26	234.0	-1545.4009324009326	234.0	-1545.4009324009326
27	233.0	-1640.6503496503499	233.0	-1640.6503496503499
28	232.0	-1721.897435897436	232.0	-1721.897435897436
29	231.0	-1887.7016317016316	231.0	-1887.7016317016316
30	230.0	-1983.3146853146854	230.0	-1983.3146853146854
31	229.0	-2051.6293706293704	229.0	-2051.6293706293704
32	228.0	-2159.3333333333335	228.0	-2159.3333333333335
33	227.0	-2205.988344988345	227.0	-2205.988344988345
34	226.0	-2288.2750582750587	226.0	-2288.2750582750587
35	225.0	-2267.244755244755	225.0	-2267.244755244755
36	224.0	-2203.2470862470864	224.0	-2203.2470862470864
37	223.0	-2122.794871794872	223.0	-2122.794871794872
38	222.0	-1990.3473193473194	222.0	-1990.3473193473194
39	221.0	-1798.857808857809	221.0	-1798.857808857809
40	220.0	-1688.717948717949	220.0	-1688.717948717949
41	219.0	-1729.804195804196	219.0	-1729.804195804196
42	218.0	-1808.3240093240095	218.0	-1808.3240093240095
43	217.0	-1943.20979020979	217.0	-1943.20979020979
44	216.0	-2030.7156177156178	216.0	-2030.7156177156178
45	215.0	-2042.0442890442891	215.0	-2042.0442890442891
46	214.0	-2144.5174825174827	214.0	-2144.5174825174827
47	213.0	-2333.566433566434	213.0	-2333.566433566434
48	212.0	-2717.4125874125875	212.0	-2717.4125874125875
49	211.0	-3192.0046620046624	211.0	-3192.0046620046624
50	210.0	-3695.5710955710956	210.0	-3695.5710955710956
51	209.0	-4442.051282051282	209.0	-4442.051282051282
52	208.0	-5338.368298368299	208.0	-5338.368298368299
53	207.0	-6389.90675990676	207.0	-6389.90675990676
54	206.0	-7566.177156177157	206.0	-7566.177156177157
55	205.0	-8868.181818181818	205.0	-8868.181818181818
56	204.0	-10290.55944055944	204.0	-10290.55944055944
57	203.0	-11561.188811188813	203.0	-11561.188811188813
58	202.0	-12927.97202797203	202.0	-12927.97202797203
59	201.0	-14257.389277389279	201.0	-14257.389277389279
60	200.0	-15467.948717948719	200.0	-15467.948717948719
61	199.0	-16368.20512820513	199.0	-16368.20512820513
62	198.0	-16791.794871794875	198.0	-16791.794871794875
63	197.0	-16856.526806526806	197.0	-16856.526806526806
64	196.0	-16452.167832167834	196.0	-16452.167832167834
65	195.0	-15712.750582750585	195.0	-15712.750582750585
66	194.0	-14655.967365967368	194.0	-14655.967365967368
67	193.0	-13285.431235431235	193.0	-13285.431235431235
68	192.0	-11749.627039627041	192.0	-11749.627039627041
69	191.0	-10088.344988344988	191.0	-10088.344988344988
70	190.0	-8377.785547785548	190.0	-8377.785547785548
71	189.0	-6856.899766899767	189.0	-6856.899766899767
72	188.0	-5475.477855477857	188.0	-5475.477855477857
73	187.0	-4284.3822843822845	187.0	-4284.3822843822845
74	186.0	-3518.5081585081584	186.0	-3518.5081585081584
75	185.0	-2987.552447552448	185.0	-2987.552447552448
76	184.0	-4163.822843822844	184.0	-4163.822843822844
77	183.0	-3984.3123543123547	183.0	-3984.3123543123547
78	182.0	-3570.4895104895113	182.0	-3570.4895104895113
79	181.0	-1223.3426573426575	181.0	-1223.3426573426575
80	180.0	16412.727272727276	180.0	16412.727272727276
